Date,Occupancy rate,G&A beds occ'd,G&A Beds Open,G&A beds unavailable to non-covid admissions “void”,CC Adult Open,CC Adult Occ,Critical care beds occupancy rate,No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),No. beds occupied by flu patients (G&A),No. beds occupied by flu patients (Critical Care),Closures,Diverts,Delays30,Delays60,No. unoccupied beds closed due to norovirus etc.,year,day_of_year
2020-11-18T00:00:00Z,0.89208390854910935,79482,89097,NA,4375,3379,0.7723428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-18
2020-11-19T00:00:00Z,0.883791705503835,78699,89047,NA,4365,3395,0.7777777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-19
2020-11-20T00:00:00Z,0.8777912839906357,77990,88848,NA,4348,3368,0.7746090156393745,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-20
2020-11-21T00:00:00Z,0.8539328377570473,75702,88651,NA,4347,3340,0.7683459857372901,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-21
2020-11-22T00:00:00Z,0.8569459664026932,75856,88519,NA,4355,3288,0.7549942594718714,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-22
2020-11-23T00:00:00Z,0.8682699452813619,77118,88818,NA,4360,3245,0.7442660550458715,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-23
2020-11-24T00:00:00Z,0.8802664240545428,78371,89031,NA,4374,3315,0.7578875171467764,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-24
2020-11-25T00:00:00Z,0.8794110379837822,78301,89038,NA,4401,3361,0.76369007043853665,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-25
2020-11-26T00:00:00Z,0.8783712440325752,78197,89025,NA,4363,3361,0.7703415081366033,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-26
2020-11-27T00:00:00Z,0.8714729310112056,77460,88884,NA,4404,3395,0.7708900999091735,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-27
2020-11-28T00:00:00Z,0.8509834775767112,75712,88970,NA,4395,3334,0.7585893060295791,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-28
2020-11-29T00:00:00Z,0.8481075472549285,75200,88668,NA,4391,3249,0.7399225688909132,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-21,2022-11-29
2020-11-30T00:00:00Z,0.8694990874062056,77175,88758,NA,4320,3133,0.7252314814814815,34628,11299,NA,NA,0,3,1089,480,NA,2020-21,2022-11-30
2020-12-01T00:00:00Z,0.8783279786110674,78187,89018,NA,4377,3258,0.744345442083619,35435,11435,NA,NA,0,3,1083,369,NA,2020-21,2022-12-01
2020-12-02T00:00:00Z,0.8784570106265867,78202,89022,NA,4366,3276,0.7503435639028859,35281,11437,NA,NA,0,3,1129,315,NA,2020-21,2022-12-02
2020-12-03T00:00:00Z,0.8740406624478255,77898,89124,NA,4474,3347,0.7481001341081805,35150,11425,NA,NA,0,3,1176,357,NA,2020-21,2022-12-03
2020-12-04T00:00:00Z,0.8765486080746246,78182,89193,NA,4490,3318,0.7389755011135858,34832,11362,NA,NA,0,2,1274,483,NA,2020-21,2022-12-04
2020-12-05T00:00:00Z,0.8606069487971502,76341,88706,NA,4413,3225,0.7307953772943576,33856,11176,NA,NA,0,0,904,216,NA,2020-21,2022-12-05
2020-12-06T00:00:00Z,0.8617400997624168,76532,88811,NA,4466,3226,0.7223466188983431,33915,11218,NA,NA,0,4,847,234,NA,2020-21,2022-12-06
2020-12-07T00:00:00Z,0.8808671952983927,78539,89161,NA,4406,3240,0.7353608715388107,35362,11557,NA,NA,0,1,1263,711,NA,2020-21,2022-12-07
2020-12-08T00:00:00Z,0.8969026203452927,80471,89721,NA,4486,3349,0.7465448060633081,35993,11651,NA,NA,0,1,1412,692,NA,2020-21,2022-12-08
