day_of_year,Median occupancy rate,Max occupancy rate,Min occupancy rate,Median beds open,Max beds open,Min beds open,Median beds occupied,Max beds occupied,Min beds occupied,Median critical care beds occupancy rate,Max critical care beds occupancy rate,Min critical care beds occupancy rate,Median no. beds occupied by long-stay patients (> 7 days),Max no. beds occupied by long-stay patients (> 7 days),Min no. beds occupied by long-stay patients (> 7 days),Median no. beds occupied by long-stay patients (> 21 days),Max no. beds occupied by long-stay patients (> 21 days),Min no. beds occupied by long-stay patients (> 21 days)
2022-01-04,0,0.9577459183571947,0,98821,100631,96164,94300,96264,89491,0.8565851119208745,0.8856604788808179,0.81793254729915,NA,NA,NA,NA,NA,NA
2022-01-05,0,0.9545117304992982,0,98214,100651,95982,92930,95914,89501,0.875712066286898,0.8938679245283019,0.8274725274725274,NA,NA,NA,NA,NA,NA
2022-01-06,0,0.9547873396608554,0,98949,100724,96892,94632,96170,91237,0.8648648648648649,0.8849032258064516,0.8303595937414219,NA,NA,NA,NA,NA,NA
2022-01-07,0,0.9523628392108187,0,98983,99901,97445,94138,95142,92932,0.8671195652173913,0.8793509552473174,0.8460091373286751,NA,NA,NA,NA,NA,NA
2022-01-08,0,0.9534547968603847,0,98807,103580,97818,94771,97964,93289,0.8577224776846092,0.8803763440860215,0.7661841027041791,NA,NA,NA,NA,NA,NA
2022-01-09,0,0.9638314666240371,0,98544.5,100087,97238,94262,96467,92401,0.866603336496687,0.8741615240139522,0.8634027589937787,NA,NA,NA,NA,NA,NA
2022-01-10,0,0.9643711049269,0,98215.5,102052,97385,93328,98416,91630,0.8654385726930165,0.8716577540106952,0.8344191096634094,NA,NA,NA,NA,NA,NA
2022-01-11,0,0.9606659729448491,0,98670,100905,96742,93833,96936,90948,0.8704609837754314,0.878482972136223,0.8217903093347934,NA,NA,NA,NA,NA,NA
2022-01-12,0,0.9555980182611522,0,98620,101527,96630,93497,97019,90249,0.8624143384290985,0.8652185291808427,0.8203723986856517,NA,NA,NA,NA,NA,NA
2022-01-13,0,0.9495865697820095,0,98430,99775,97478,93317,94745,91284,0.8541780447842708,0.8733160621761658,0.8250888220825362,NA,NA,NA,NA,NA,NA
2022-01-14,0,0.9470983457625765,0,98577,100800,97890,93723,94868,93107,0.8606978631322694,0.8732212160413971,0.8366182572614108,NA,NA,NA,NA,NA,NA
2022-01-15,0,0.9468577075098814,0,99095,103090,97911,94687,96757,93231,0.8453023758099352,0.8807661181548422,0.8242015061023111,NA,NA,NA,NA,NA,NA
2022-01-16,0,0.9558619871008587,0,98666,101092,97843,94327.5,96630,93249,0.8619269949066214,0.878494623655914,0.8489720611491829,NA,NA,NA,NA,NA,NA
