Date,Name,Occupancy rate,G&A beds occ'd,G&A Beds Open,Critical care beds occupancy rate,No. beds occupied by flu patients (Critical Care),No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),day_of_year
2021-12-02T00:00:00Z,Royal Free London NHS Foundation Trust,0.9832962138084632,883,898,0.7971014492753623,0,374,175,2021-12-02
2021-12-03T00:00:00Z,Royal Free London NHS Foundation Trust,0.9699666295884316,872,899,0.8235294117647058,0,477,179,2021-12-03
2021-12-04T00:00:00Z,Royal Free London NHS Foundation Trust,0.9697986577181208,867,894,0.8524590163934426,0,454,180,2021-12-04
2021-12-05T00:00:00Z,Royal Free London NHS Foundation Trust,0.9865771812080537,882,894,0.8360655737704918,0,459,187,2021-12-05
2021-11-29T00:00:00Z,Royal National Orthopaedic Hospital NHS Trust,0.7914110429447853,129,163,0.125,0,18,26,2021-11-29
2021-11-30T00:00:00Z,Royal National Orthopaedic Hospital NHS Trust,0.8404907975460123,137,163,0.875,0,16,26,2021-11-30
2021-12-01T00:00:00Z,Royal National Orthopaedic Hospital NHS Trust,0.9141104294478528,149,163,1,0,12,26,2021-12-01
2021-12-02T00:00:00Z,Royal National Orthopaedic Hospital NHS Trust,0.8765432098765432,142,162,0.75,0,10,27,2021-12-02
2021-12-03T00:00:00Z,Royal National Orthopaedic Hospital NHS Trust,0.8895705521472392,145,163,0.75,0,11,25,2021-12-03
2021-12-04T00:00:00Z,Royal National Orthopaedic Hospital NHS Trust,0.6490066225165563,98,151,0.25,0,10,24,2021-12-04
2021-12-05T00:00:00Z,Royal National Orthopaedic Hospital NHS Trust,0.5960264900662252,90,151,0.375,0,11,24,2021-12-05
2021-11-29T00:00:00Z,North Middlesex University Hospital NHS Trust,0.978494623655914,455,465,0.75,0,315,114,2021-11-29
2021-11-30T00:00:00Z,North Middlesex University Hospital NHS Trust,0.9746300211416491,461,473,0.8,0,0,0,2021-11-30
2021-12-01T00:00:00Z,North Middlesex University Hospital NHS Trust,0.9637526652452025,452,469,0.85,0,0,0,2021-12-01
2021-12-02T00:00:00Z,North Middlesex University Hospital NHS Trust,0.961456102783726,449,467,0.95,0,276,105,2021-12-02
2021-12-03T00:00:00Z,North Middlesex University Hospital NHS Trust,0.9612068965517241,446,464,0.9,0,280,108,2021-12-03
2021-12-04T00:00:00Z,North Middlesex University Hospital NHS Trust,NA,NA,NA,NA,0,0,0,2021-12-04
2021-12-05T00:00:00Z,North Middlesex University Hospital NHS Trust,0.9612068965517241,446,464,0.9,0,280,108,2021-12-05
2021-11-29T00:00:00Z,The Hillingdon Hospitals NHS Foundation Trust,0.9603658536585366,315,328,0.75,0,167,53,2021-11-29
2021-11-30T00:00:00Z,The Hillingdon Hospitals NHS Foundation Trust,0.9755351681957186,319,327,0.75,0,168,54,2021-11-30
2021-12-01T00:00:00Z,The Hillingdon Hospitals NHS Foundation Trust,0.9635258358662614,317,329,0.8333333333333334,0,174,56,2021-12-01
2021-12-02T00:00:00Z,The Hillingdon Hospitals NHS Foundation Trust,0.9671641791044776,324,335,0.8333333333333334,0,163,51,2021-12-02
2021-12-03T00:00:00Z,The Hillingdon Hospitals NHS Foundation Trust,0.9579579579579579,319,333,0.8333333333333334,0,159,50,2021-12-03
2021-12-04T00:00:00Z,The Hillingdon Hospitals NHS Foundation Trust,0.9580838323353293,320,334,0.75,0,153,52,2021-12-04
2021-12-05T00:00:00Z,The Hillingdon Hospitals NHS Foundation Trust,0.9668674698795181,321,332,0.75,0,145,49,2021-12-05
2021-11-29T00:00:00Z,Kingston Hospital NHS Foundation Trust,0.9419191919191919,373,396,0.8,0,208,61,2021-11-29
2021-11-30T00:00:00Z,Kingston Hospital NHS Foundation Trust,0.9595959595959596,380,396,0.8666666666666667,0,206,59,2021-11-30
2021-12-01T00:00:00Z,Kingston Hospital NHS Foundation Trust,0.9444444444444444,374,396,0.8,0,195,59,2021-12-01
2021-12-02T00:00:00Z,Kingston Hospital NHS Foundation Trust,0.9621212121212122,381,396,0.7333333333333333,0,191,56,2021-12-02
2021-12-03T00:00:00Z,Kingston Hospital NHS Foundation Trust,0.9570707070707071,379,396,0.9333333333333333,0,191,59,2021-12-03
2021-12-04T00:00:00Z,Kingston Hospital NHS Foundation Trust,0.9444444444444444,374,396,0.9333333333333333,0,190,62,2021-12-04
2021-12-05T00:00:00Z,Kingston Hospital NHS Foundation Trust,0.9595959595959596,380,396,0.8,0,184,66,2021-12-05
2021-11-29T00:00:00Z,Dorset County Hospital NHS Foundation Trust,0.978328173374613,316,323,0.875,0,174,75,2021-11-29
2021-11-30T00:00:00Z,Dorset County Hospital NHS Foundation Trust,0.9719626168224299,312,321,1,0,179,78,2021-11-30
2021-12-01T00:00:00Z,Dorset County Hospital NHS Foundation Trust,0.9252336448598131,297,321,0.7272727272727273,0,173,78,2021-12-01
2021-12-02T00:00:00Z,Dorset County Hospital NHS Foundation Trust,0.9512195121951219,312,328,1,0,175,78,2021-12-02
2021-12-03T00:00:00Z,Dorset County Hospital NHS Foundation Trust,0.9452887537993921,311,329,1,0,171,74,2021-12-03
2021-12-04T00:00:00Z,Dorset County Hospital NHS Foundation Trust,0.9544072948328267,314,329,1,0,164,71,2021-12-04
2021-12-05T00:00:00Z,Dorset County Hospital NHS Foundation Trust,0.939209726443769,309,329,1,0,163,72,2021-12-05
2021-11-29T00:00:00Z,Walsall Healthcare NHS Trust,0.943289224952741,499,529,0.8888888888888888,0,208,61,2021-11-29
2021-11-30T00:00:00Z,Walsall Healthcare NHS Trust,0.9490566037735849,503,530,0.8888888888888888,0,231,60,2021-11-30
2021-12-01T00:00:00Z,Walsall Healthcare NHS Trust,0.9531835205992509,509,534,0.7222222222222222,0,228,61,2021-12-01
2021-12-02T00:00:00Z,Walsall Healthcare NHS Trust,0.9661654135338346,514,532,0.7777777777777778,0,220,55,2021-12-02
2021-12-03T00:00:00Z,Walsall Healthcare NHS Trust,0.9738805970149254,522,536,0.7777777777777778,0,233,59,2021-12-03
2021-12-04T00:00:00Z,Walsall Healthcare NHS Trust,0.9495327102803738,508,535,0.7777777777777778,0,233,62,2021-12-04
2021-12-05T00:00:00Z,Walsall Healthcare NHS Trust,0.9572490706319703,515,538,0.7222222222222222,0,231,66,2021-12-05
